vaccination rates,District,State,antenatal care,child malnutrition
64.2,Nicobar,Andaman & Nicobar Island,71.7,21.6
76.3,South Andaman,Andaman & Nicobar Island,85.9,21.1
81.8,Anantapur,Andhra Pradesh,66.6,36.0
66.6,Chittoor,Andhra Pradesh,65.3,27.1
59.0,East Godavari,Andhra Pradesh,51.0,23.1
76.2,Guntur,Andhra Pradesh,62.5,23.8
90.0,Krishna,Andhra Pradesh,73.3,29.8
67.0,Kurnool,Andhra Pradesh,74.3,50.5
51.9,Prakasam,Andhra Pradesh,73.4,22.6
65.3,Sri Potti Sriramulu Nellore,Andhra Pradesh,73.0,29.2
82.8,Srikakulam,Andhra Pradesh,78.4,19.7
76.5,Visakhapatnam,Andhra Pradesh,58.6,31.0
76.8,Vizianagaram,Andhra Pradesh,71.4,36.4
80.0,West Godavari,Andhra Pradesh,62.7,31.4
83.0,Y.S.R.,Andhra Pradesh,82.8,34.4
93.0,Anjaw,Arunachal Pradesh,32.3,23.6
70.9,Changlang,Arunachal Pradesh,46.9,26.3
90.7,Dibang Valley ,Arunachal Pradesh,40.4,16.9
60.8,East Kameng ,Arunachal Pradesh,29.1,35.7
48.8,East Siang ,Arunachal Pradesh,34.3,24.6
63.6,Kra Daadi ,Arunachal Pradesh,18.3,28.8
71.4,Kurung Kumey ,Arunachal Pradesh,44.1,29.2
74.0,Lohit ,Arunachal Pradesh,39.6,24.5
52.7,Longding ,Arunachal Pradesh,39.6,15.8
73.8,Lower Dibang Valley ,Arunachal Pradesh,48.6,14.3
66.5,Lower Subansiri ,Arunachal Pradesh,39.1,30.7
67.2,Namsai ,Arunachal Pradesh,35.4,28.7
60.7,Papum Pare ,Arunachal Pradesh,39.3,29.7
60.3,Siang ,Arunachal Pradesh,31.1,21.3
67.5,Tawang ,Arunachal Pradesh,37.6,30.4
66.3,Tirap ,Arunachal Pradesh,35.7,38.6
61.4,Upper Siang ,Arunachal Pradesh,34.0,30.4
68.5,Upper Subansiri ,Arunachal Pradesh,32.1,36.8
56.2,West Kameng ,Arunachal Pradesh,27.6,24.2
55.4,West Siang ,Arunachal Pradesh,30.4,24.5
70.5,Baksa,Assam,56.0,41.2
54.6,Barpeta,Assam,43.6,29.8
66.2,Biswanath,Assam,46.5,42.7
67.9,Bongaigaon,Assam,33.9,46.2
70.4,Cachar,Assam,32.7,28.7
74.0,Charaideo,Assam,64.5,39.0
71.1,Chirang,Assam,56.5,42.7
57.1,Darrang,Assam,37.5,42.0
89.7,Dhemaji,Assam,62.2,37.2
71.6,Dhubri,Assam,37.6,48.5
83.8,Dibrugarh,Assam,75.6,27.3
63.6,Dima Hasao,Assam,46.9,30.6
70.3,Goalpara,Assam,44.1,38.9
72.4,Golaghat,Assam,65.7,26.3
68.6,Hailakandi,Assam,43.1,42.9
55.5,Hojai,Assam,51.3,39.3
69.2,Jorhat,Assam,67.0,38.7
53.6,Kamrup Metropolitan,Assam,68.9,25.4
63.6,Kamrup,Assam,46.9,22.6
64.3,Karbi Anglong,Assam,63.9,31.6
75.1,Karimganj,Assam,42.8,29.1
51.1,Kokrajhar,Assam,36.9,34.6
69.0,Lakhimpur,Assam,51.7,38.5
78.6,Majuli,Assam,72.2,35.4
73.4,Morigaon,Assam,42.0,43.2
58.2,Nagaon,Assam,59.4,38.9
65.5,Nalbari,Assam,55.9,27.5
77.6,Sivasagar,Assam,80.9,26.1
70.9,Sonitpur,Assam,45.5,36.7
65.8,South Salmara Mancachar,Assam,35.3,38.9
75.0,Tinsukia,Assam,63.1,32.8
38.3,Udalguri,Assam,49.8,33.8
47.9,West Karbi Anglong,Assam,46.7,40.9
61.6,Araria,Bihar,25.8,49.9
84.2,Arwal,Bihar,34.5,45.6
